issuer_key,issuer_name,screen_label,disclosure_count,source_row_ids,pool_ids,reference_case_id,reference_label,outcome_status,source_supported_documents,reference_official_exit_year,reference_official_exit_event,reference_case_in_screen_source_rows,shared_reference_screen_document_ids,event_time_alignment,independent_same_event_pairing
伊犁哈萨克自治州财通国有资产经营有限责任公司,伊犁哈萨克自治州财通国有资产经营有限责任公司,nominal_exit,1,exp4_20260703_0013,harvest_0200,,,unknown,doc_exp4_20260703_0013_001;doc_exp4_20260703_0013_002;doc_exp4_20260703_0013_004;doc_exp4_20260703_0013_005;doc_exp4_20260703_0013_006,,,false,,no_reference_link,not_established
伊犁州国有资产投资经营有限责任公司,伊犁州国有资产投资经营有限责任公司,nominal_exit,2,sch_20260630_0117;sch_20260630_0169,harvest_0117;harvest_0169,sch_20260630_0117,nominal_exit,known,doc_sch_20260630_0117_001;doc_sch_20260630_0117_005;doc_sch_20260630_0117_006;doc_sch_20260630_0169_002;doc_sch_20260630_0169_004;doc_sch_20260630_0169_005,2015,"Prospectus disclosures state that the issuer had been transferred out of the banking-regulator local government financing platform list, had been included in the 2013 national government-debt audit platform-company scope, and does not undertake government financing functions after January 1 2015.",true,doc_sch_20260630_0117_005;doc_sch_20260630_0169_002,not_established,not_established
六安城市建设投资有限公司,六安城市建设投资有限公司,nominal_exit,1,sch_20260630_0090,harvest_0090,expand_ah_luan_chengtou,nominal_exit,known,doc_sch_20260630_0090_001;doc_sch_20260630_0090_005;doc_sch_20260630_0090_006;doc_sch_20260630_0090_007,2015,Legal opinion states that after the post-2012 policy shift the issuer no longer participates in BT projects and does not undertake government financing functions; current issuance documents also state that the issue will not increase government or hidden debt.,false,,not_established,not_established
北京亦庄国际投资发展有限公司,北京亦庄国际投资发展有限公司,nominal_exit,2,exp2_20260703_0022;exp2_20260703_0023,harvest_0195;harvest_0196,,,unknown,doc_exp2_20260703_0022_001;doc_exp2_20260703_0022_002;doc_exp2_20260703_0022_003;doc_exp2_20260703_0023_001;doc_exp2_20260703_0023_003;doc_exp2_20260703_0023_005,,,false,,no_reference_link,not_established
北京市海淀区国有资本运营有限公司,北京市海淀区国有资本运营有限公司,nominal_exit,2,exp_20260703_0015;exp_20260703_0018,harvest_0183;harvest_0184,,,unknown,doc_exp_20260703_0015_001;doc_exp_20260703_0015_002;doc_exp_20260703_0015_005;doc_exp_20260703_0015_006;doc_exp_20260703_0015_007;doc_exp_20260703_0015_008;doc_exp_20260703_0018_001;doc_exp_20260703_0018_002;doc_exp_20260703_0018_004;doc_exp_20260703_0018_005;doc_exp_20260703_0018_006;doc_exp_20260703_0018_010,,,false,,no_reference_link,not_established
北京未来科学城发展集团有限公司,北京未来科学城发展集团有限公司,nominal_exit,1,sch_20260630_0051,harvest_0051,sch_20260630_0051,nominal_exit,known,doc_sch_20260630_0051_001;doc_sch_20260630_0051_002;doc_sch_20260630_0051_003;doc_sch_20260630_0051_005;doc_sch_20260630_0051_006,2015,"Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the current project-revenue note will not add local-government or hidden debt.",true,doc_sch_20260630_0051_001;doc_sch_20260630_0051_003;doc_sch_20260630_0051_005,not_established,not_established
北京电子控股有限责任公司,北京电子控股有限责任公司,nominal_exit,1,exp9_20260704_0193,harvest_0234,,,unknown,doc_exp9_20260704_0193_007;doc_exp9_20260704_0193_008,,,false,,no_reference_link,not_established
南京市交通建设投资控股集团有限责任公司,南京市交通建设投资控股(集团)有限责任公司,nominal_exit,1,sch_20260630_0052,harvest_0052,sch_20260630_0052,nominal_exit,known,doc_sch_20260630_0052_001;doc_sch_20260630_0052_002;doc_sch_20260630_0052_004;doc_sch_20260630_0052_005;doc_sch_20260630_0052_006;doc_sch_20260630_0052_007;doc_sch_20260630_0052_008;doc_sch_20260630_0052_009,2015,"Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the local state acts only as shareholder with limited liability.",true,doc_sch_20260630_0052_001;doc_sch_20260630_0052_007;doc_sch_20260630_0052_008,not_established,not_established
南京江北新城投资发展有限公司,南京江北新城投资发展有限公司,nominal_exit,2,exp2_20260703_0009;exp2_20260703_0010,harvest_0191;harvest_0192,exp2_20260703_0009,nominal_exit,known,doc_exp2_20260703_0009_006;doc_exp2_20260703_0009_007;doc_exp2_20260703_0010_003;doc_exp2_20260703_0010_007,2015,Issuer disclosure states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_exp2_20260703_0009_006;doc_exp2_20260703_0009_007,not_established,not_established
南京江宁交通建设集团有限公司,南京江宁交通建设集团有限公司,nominal_exit,1,sch_20260630_0144,harvest_0144,,,unknown,doc_sch_20260630_0144_001;doc_sch_20260630_0144_002;doc_sch_20260630_0144_003;doc_sch_20260630_0144_005,,,false,,no_reference_link,not_established
南京江宁科学园发展集团有限公司,南京江宁科学园发展集团有限公司,nominal_exit,1,sch_20260630_0075,harvest_0075,,,unknown,doc_sch_20260630_0075_002;doc_sch_20260630_0075_003;doc_sch_20260630_0075_004;doc_sch_20260630_0075_005;doc_sch_20260630_0075_006,,,false,,no_reference_link,not_established
南京江宁经济技术开发集团有限公司,南京江宁经济技术开发集团有限公司,nominal_exit,1,exp8_20260703_0037,harvest_0219,,,unknown,doc_exp8_20260703_0037_006;doc_exp8_20260703_0037_007,,,false,,no_reference_link,not_established
南京溧水经济技术开发集团有限公司,南京溧水经济技术开发集团有限公司,nominal_exit,1,exp8_20260703_0042,harvest_0220,,,unknown,doc_exp8_20260703_0042_004;doc_exp8_20260703_0042_006,,,false,,no_reference_link,not_established
南京牛首山文化旅游集团有限公司,南京牛首山文化旅游集团有限公司,nominal_exit,1,exp5_20260703_0025,harvest_0207,,,unknown,doc_exp5_20260703_0025_001;doc_exp5_20260703_0025_002;doc_exp5_20260703_0025_006;doc_exp5_20260703_0025_007;doc_exp5_20260703_0025_008,,,false,,no_reference_link,not_established
南京高淳国有资产经营控股集团有限公司,南京高淳国有资产经营控股集团有限公司,nominal_exit,1,sch_20260630_0160,harvest_0160,,,unknown,doc_sch_20260630_0160_001;doc_sch_20260630_0160_002;doc_sch_20260630_0160_003;doc_sch_20260630_0160_007;doc_sch_20260630_0160_008,,,false,,no_reference_link,not_established
南通产业控股集团有限公司,南通产业控股集团有限公司,nominal_exit,1,sch_20260630_0074,harvest_0074,,,unknown,doc_sch_20260630_0074_002;doc_sch_20260630_0074_006,,,false,,no_reference_link,not_established
南通城市建设集团有限公司,南通城市建设集团有限公司,nominal_exit,1,sch_20260630_0089,harvest_0089,,,unknown,doc_sch_20260630_0089_001;doc_sch_20260630_0089_002;doc_sch_20260630_0089_005;doc_sch_20260630_0089_006;doc_sch_20260630_0089_007,,,false,,no_reference_link,not_established
厦门金圆投资集团有限公司,厦门金圆投资集团有限公司,nominal_exit,1,sch_20260630_0004,harvest_0004,,,unknown,doc_sch_20260630_0004_002;doc_sch_20260630_0004_004;doc_sch_20260630_0004_005;doc_sch_20260630_0004_011,,,false,,no_reference_link,not_established
台州市椒江区社会事业发展集团有限公司,台州市椒江区社会事业发展集团有限公司,nominal_exit,1,exp5_20260703_0004,harvest_0205,,,unknown,doc_exp5_20260703_0004_002;doc_exp5_20260703_0004_005;doc_exp5_20260703_0004_006;doc_exp5_20260703_0004_008;doc_exp5_20260703_0004_009;doc_exp5_20260703_0004_010,,,false,,no_reference_link,not_established
合肥北城建设投资集团有限公司,合肥北城建设投资(集团)有限公司,nominal_exit,1,sch_20260630_0125,harvest_0125,,,unknown,doc_sch_20260630_0125_001;doc_sch_20260630_0125_002;doc_sch_20260630_0125_003,,,false,,no_reference_link,not_established
吉安市城市建设投资开发有限公司,吉安市城市建设投资开发有限公司,nominal_exit,1,sch_20260630_0108,harvest_0108,expand_jx_jian_chengtou,nominal_exit,known,doc_sch_20260630_0108_001;doc_sch_20260630_0108_002;doc_sch_20260630_0108_003;doc_sch_20260630_0108_004;doc_sch_20260630_0108_005;doc_sch_20260630_0108_008,2015,Legal opinion states that the Ji'an government has stripped the issuer's government financing functions and that the issuer does not borrow for local government or other entities; issue proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,false,,not_established,not_established
嘉兴市嘉秀发展投资控股集团有限公司,嘉兴市嘉秀发展投资控股集团有限公司,nominal_exit,3,sch_20260630_0068;sch_20260630_0076;sch_20260630_0091,harvest_0068;harvest_0076;harvest_0091,sch_20260630_0068,nominal_exit,known,doc_sch_20260630_0068_001;doc_sch_20260630_0068_002;doc_sch_20260630_0068_003;doc_sch_20260630_0068_004;doc_sch_20260630_0076_001;doc_sch_20260630_0076_002;doc_sch_20260630_0076_003;doc_sch_20260630_0076_004;doc_sch_20260630_0091_001;doc_sch_20260630_0091_002;doc_sch_20260630_0091_003;doc_sch_20260630_0091_004,2015,"Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the current debt instrument will not increase government or hidden debt.",true,doc_sch_20260630_0068_003;doc_sch_20260630_0068_004,not_established,not_established
嘉兴科技城投资发展集团有限公司,嘉兴科技城投资发展集团有限公司,nominal_exit,2,sch_20260630_0013;sch_20260630_0042,harvest_0013;harvest_0042,sch_20260630_0013,nominal_exit,known,doc_sch_20260630_0013_006;doc_sch_20260630_0013_009;doc_sch_20260630_0042_003;doc_sch_20260630_0042_007,2015,Issuer disclosure states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0013_009,not_established,not_established
嘉善县高新科技园区建设投资有限公司,嘉善县高新科技园区建设投资有限公司,nominal_exit,2,sch_20260630_0035;sch_20260630_0058,harvest_0035;harvest_0058,sch_20260630_0035,nominal_exit,known,doc_sch_20260630_0035_001;doc_sch_20260630_0035_002;doc_sch_20260630_0035_003;doc_sch_20260630_0035_005;doc_sch_20260630_0058_001;doc_sch_20260630_0058_002;doc_sch_20260630_0058_003;doc_sch_20260630_0058_004,2015,"Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the current debt instrument will not add local-government or hidden debt.",true,doc_sch_20260630_0035_002;doc_sch_20260630_0035_005,not_established,not_established
四川华西集团有限公司,四川华西集团有限公司,nominal_exit,1,exp10_20260704_0268,harvest_0246,,,unknown,doc_exp10_20260704_0268_001;doc_exp10_20260704_0268_004;doc_exp10_20260704_0268_005;doc_exp10_20260704_0268_006;doc_exp10_20260704_0268_007,,,false,,no_reference_link,not_established
四川省乡村发展集团有限公司,四川省乡村发展集团有限公司,nominal_exit,1,sch_20260630_0001,harvest_0001,,,unknown,doc_sch_20260630_0001_006;doc_sch_20260630_0001_007,,,false,,no_reference_link,not_established
天津北辰经济技术开发区集团有限公司,天津北辰经济技术开发区集团有限公司,nominal_exit,1,sch_20260630_0134,harvest_0134,,,unknown,doc_sch_20260630_0134_001;doc_sch_20260630_0134_002;doc_sch_20260630_0134_004;doc_sch_20260630_0134_009;doc_sch_20260630_0134_010,,,false,,no_reference_link,not_established
天津国有资本投资运营有限公司,天津国有资本投资运营有限公司,nominal_exit,1,exp_20260703_0005,harvest_0180,,,unknown,doc_exp_20260703_0005_004;doc_exp_20260703_0005_005;doc_exp_20260703_0005_010,,,false,,no_reference_link,not_established
天津市武清区国有资产经营投资有限公司,天津市武清区国有资产经营投资有限公司,nominal_exit,1,exp4_20260703_0027,harvest_0201,,,unknown,doc_exp4_20260703_0027_001;doc_exp4_20260703_0027_010,,,false,,no_reference_link,not_established
天津津南城市建设投资有限公司,天津津南城市建设投资有限公司,nominal_exit,3,sch_20260630_0085;sch_20260630_0097;sch_20260630_0118,harvest_0085;harvest_0097;harvest_0118,expand_tj_jinnan_chengtou,nominal_exit,known,doc_sch_20260630_0085_001;doc_sch_20260630_0085_002;doc_sch_20260630_0085_003;doc_sch_20260630_0085_005;doc_sch_20260630_0085_006;doc_sch_20260630_0085_007;doc_sch_20260630_0085_009;doc_sch_20260630_0085_011;doc_sch_20260630_0097_003;doc_sch_20260630_0097_004;doc_sch_20260630_0097_005;doc_sch_20260630_0097_006;doc_sch_20260630_0118_002;doc_sch_20260630_0118_004;doc_sch_20260630_0118_005;doc_sch_20260630_0118_006,2015,"Legal opinion and prospectus disclosures state that the issuer operates on marketized principles, has no local-government repayment-responsibility debt, and that the current issue will not increase government or hidden debt or be directly repaid by fiscal funds.",false,,not_established,not_established
太仓娄城高新集团有限公司,太仓娄城高新集团有限公司,nominal_exit,1,exp8_20260703_0004,harvest_0213,,,unknown,doc_exp8_20260703_0004_001;doc_exp8_20260703_0004_003;doc_exp8_20260703_0004_004;doc_exp8_20260703_0004_005,,,false,,no_reference_link,not_established
太原市龙城发展投资集团有限公司,太原市龙城发展投资集团有限公司,nominal_exit,1,sch_20260630_0139,harvest_0139,,,unknown,doc_sch_20260630_0139_002;doc_sch_20260630_0139_005;doc_sch_20260630_0139_008,,,false,,no_reference_link,not_established
如东县东泰社会发展投资有限责任公司,如东县东泰社会发展投资有限责任公司,nominal_exit,1,sch_20260630_0073,harvest_0073,sch_20260630_0073,nominal_exit,known,doc_sch_20260630_0073_002;doc_sch_20260630_0073_003;doc_sch_20260630_0073_004;doc_sch_20260630_0073_006,2015,Prospectus states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0073_002;doc_sch_20260630_0073_003,not_established,not_established
如皋市经济贸易开发有限公司,如皋市经济贸易开发有限公司,nominal_exit,1,exp9_20260704_0035,harvest_0226,,,unknown,doc_exp9_20260704_0035_002;doc_exp9_20260704_0035_004;doc_exp9_20260704_0035_005;doc_exp9_20260704_0035_006;doc_exp9_20260704_0035_007,,,false,,no_reference_link,not_established
宁波市海曙广聚资产经营有限公司,宁波市海曙广聚资产经营有限公司,nominal_exit,1,exp5_20260703_0007,harvest_0206,,,unknown,doc_exp5_20260703_0007_004;doc_exp5_20260703_0007_005;doc_exp5_20260703_0007_006,,,false,,no_reference_link,not_established
宁波市镇海投资有限公司,宁波市镇海投资有限公司,nominal_exit,1,exp8_20260703_0163,harvest_0223,,,unknown,doc_exp8_20260703_0163_006;doc_exp8_20260703_0163_007,,,false,,no_reference_link,not_established
宁波文旅会展集团有限公司,宁波文旅会展集团有限公司,nominal_exit,1,exp2_20260703_0021,harvest_0194,,,unknown,doc_exp2_20260703_0021_001;doc_exp2_20260703_0021_003;doc_exp2_20260703_0021_005;doc_exp2_20260703_0021_008;doc_exp2_20260703_0021_009,,,false,,no_reference_link,not_established
安徽省交通控股集团有限公司,安徽省交通控股集团有限公司,nominal_exit,1,sch_20260630_0172,harvest_0172,,,unknown,doc_sch_20260630_0172_003;doc_sch_20260630_0172_006,,,false,,no_reference_link,not_established
安徽省宁国建设投资集团有限公司,安徽省宁国建设投资集团有限公司,nominal_exit,1,sch_20260630_0173,harvest_0173,,,unknown,doc_sch_20260630_0173_003;doc_sch_20260630_0173_007,,,false,,no_reference_link,not_established
宜昌城发实业投资有限公司,宜昌城发实业投资有限公司,nominal_exit,1,sch_20260630_0071,harvest_0071,,,unknown,doc_sch_20260630_0071_002;doc_sch_20260630_0071_003;doc_sch_20260630_0071_004;doc_sch_20260630_0071_008;doc_sch_20260630_0071_009,,,false,,no_reference_link,not_established
宿州市城市建设投资集团控股有限公司,宿州市城市建设投资集团(控股)有限公司,nominal_exit,2,sch_20260630_0064;sch_20260630_0112,harvest_0064;harvest_0112,expand_ah_suzhou_chengtou,nominal_exit,known,doc_sch_20260630_0064_001;doc_sch_20260630_0064_002;doc_sch_20260630_0064_005;doc_sch_20260630_0064_006;doc_sch_20260630_0064_007;doc_sch_20260630_0064_008;doc_sch_20260630_0112_001;doc_sch_20260630_0112_002;doc_sch_20260630_0112_004;doc_sch_20260630_0112_005;doc_sch_20260630_0112_006;doc_sch_20260630_0112_008,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; a separate compliance section says the issuer rectified and standardized the stripping of government financing functions and does not undertake land-reserve functions.,false,,not_established,not_established
寿光市金旭产业发展集团有限公司,寿光市金旭产业发展集团有限公司,nominal_exit,1,sch_20260630_0028,harvest_0028,sch_20260630_0028,nominal_exit,known,doc_sch_20260630_0028_002;doc_sch_20260630_0028_004;doc_sch_20260630_0028_008,2015,Issuer disclosure states that the current debt instrument will not increase local-government or hidden debt and that the issuer does not undertake government financing behavior.,true,doc_sch_20260630_0028_004,not_established,not_established
山东泉汇产业发展有限公司,山东泉汇产业发展有限公司,nominal_exit,1,exp5_20260703_0001,harvest_0204,,,unknown,doc_exp5_20260703_0001_007;doc_exp5_20260703_0001_009,,,false,,no_reference_link,not_established
山东高速集团有限公司,山东高速集团有限公司,nominal_exit,1,exp10_20260704_0236,harvest_0245,,,unknown,doc_exp10_20260704_0236_003;doc_exp10_20260704_0236_006;doc_exp10_20260704_0236_007;doc_exp10_20260704_0236_008;doc_exp10_20260704_0236_009;doc_exp10_20260704_0236_010,,,false,,no_reference_link,not_established
山西交通控股集团有限公司,山西交通控股集团有限公司,nominal_exit,1,sch_20260630_0062,harvest_0062,,,unknown,doc_sch_20260630_0062_001;doc_sch_20260630_0062_002;doc_sch_20260630_0062_003;doc_sch_20260630_0062_005,,,false,,no_reference_link,not_established
山西建设投资集团有限公司,山西建设投资集团有限公司,nominal_exit,1,sch_20260630_0101,harvest_0101,,,unknown,doc_sch_20260630_0101_002;doc_sch_20260630_0101_003;doc_sch_20260630_0101_006;doc_sch_20260630_0101_007;doc_sch_20260630_0101_008;doc_sch_20260630_0101_009,,,false,,no_reference_link,not_established
山西路桥建设集团有限公司,山西路桥建设集团有限公司,nominal_exit,1,sch_20260630_0030,harvest_0030,,,unknown,doc_sch_20260630_0030_002;doc_sch_20260630_0030_003;doc_sch_20260630_0030_004;doc_sch_20260630_0030_005;doc_sch_20260630_0030_006;doc_sch_20260630_0030_010,,,false,,no_reference_link,not_established
常州天宁建设发展集团有限公司,常州天宁建设发展集团有限公司,nominal_exit,2,sch_20260630_0057;sch_20260630_0113,harvest_0057;harvest_0113,sch_20260630_0057,nominal_exit,known,doc_sch_20260630_0057_001;doc_sch_20260630_0057_002;doc_sch_20260630_0057_003;doc_sch_20260630_0057_004;doc_sch_20260630_0113_001;doc_sch_20260630_0113_002;doc_sch_20260630_0113_003;doc_sch_20260630_0113_007,2015,Issuer disclosure states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0057_004,not_established,not_established
常州市交通产业集团有限公司,常州市交通产业集团有限公司,nominal_exit,1,sch_20260630_0048,harvest_0048,sch_20260630_0048,nominal_exit,known,doc_sch_20260630_0048_002;doc_sch_20260630_0048_003;doc_sch_20260630_0048_005;doc_sch_20260630_0048_006;doc_sch_20260630_0048_007,2011,Legal opinion reports that the issuer was included in the CBRC government-financing-platform list in August 2010 and was removed from that list in May 2011; prospectus compliance language also states that the company does not undertake government financing functions after January 1 2015.,true,doc_sch_20260630_0048_003;doc_sch_20260630_0048_007,not_established,not_established
常州市城市建设集团有限公司,常州市城市建设(集团)有限公司,nominal_exit,1,exp3_20260703_0018,harvest_0198,,,unknown,doc_exp3_20260703_0018_001;doc_exp3_20260703_0018_002;doc_exp3_20260703_0018_003;doc_exp3_20260703_0018_008;doc_exp3_20260703_0018_009,,,false,,no_reference_link,not_established
常州滨湖建设发展集团有限公司,常州滨湖建设发展集团有限公司,nominal_exit,2,sch_20260630_0069;sch_20260630_0079,harvest_0069;harvest_0079,sch_20260630_0069,nominal_exit,known,doc_sch_20260630_0069_004;doc_sch_20260630_0069_005;doc_sch_20260630_0069_006;doc_sch_20260630_0069_007;doc_sch_20260630_0079_001;doc_sch_20260630_0079_004;doc_sch_20260630_0079_005;doc_sch_20260630_0079_006,2015,Issuer disclosure states that the company does not undertake government financing functions and that debt newly incurred since January 1 2015 is not local-government debt.,true,doc_sch_20260630_0069_004,not_established,not_established
广东省铁路建设投资集团有限公司,广东省铁路建设投资集团有限公司,nominal_exit,1,sch_20260630_0065,harvest_0065,,,unknown,doc_sch_20260630_0065_001;doc_sch_20260630_0065_002;doc_sch_20260630_0065_003;doc_sch_20260630_0065_004;doc_sch_20260630_0065_005;doc_sch_20260630_0065_006,,,false,,no_reference_link,not_established
广州交通投资集团有限公司,广州交通投资集团有限公司,nominal_exit,1,exp_20260703_0002,harvest_0177,,,unknown,doc_exp_20260703_0002_002;doc_exp_20260703_0002_004;doc_exp_20260703_0002_005;doc_exp_20260703_0002_006;doc_exp_20260703_0002_007;doc_exp_20260703_0002_008;doc_exp_20260703_0002_010,,,false,,no_reference_link,not_established
广州越秀集团股份有限公司,广州越秀集团股份有限公司,nominal_exit,1,exp9_20260704_0084,harvest_0227,,,unknown,doc_exp9_20260704_0084_001;doc_exp9_20260704_0084_002;doc_exp9_20260704_0084_003;doc_exp9_20260704_0084_005;doc_exp9_20260704_0084_007,,,false,,no_reference_link,not_established
广西交通投资集团有限公司,广西交通投资集团有限公司,nominal_exit,5,sch_20260630_0128;sch_20260630_0133;sch_20260630_0146;sch_20260630_0158;sch_20260630_0174,harvest_0128;harvest_0133;harvest_0146;harvest_0158;harvest_0174,,,unknown,doc_sch_20260630_0128_003;doc_sch_20260630_0128_004;doc_sch_20260630_0128_005;doc_sch_20260630_0128_007;doc_sch_20260630_0128_008;doc_sch_20260630_0133_001;doc_sch_20260630_0133_003;doc_sch_20260630_0133_004;doc_sch_20260630_0133_005;doc_sch_20260630_0133_007;doc_sch_20260630_0133_008;doc_sch_20260630_0133_009;doc_sch_20260630_0146_001;doc_sch_20260630_0146_002;doc_sch_20260630_0146_003;doc_sch_20260630_0146_004;doc_sch_20260630_0146_005;doc_sch_20260630_0146_006;doc_sch_20260630_0146_007;doc_sch_20260630_0146_009;doc_sch_20260630_0158_001;doc_sch_20260630_0158_002;doc_sch_20260630_0158_004;doc_sch_20260630_0158_005;doc_sch_20260630_0158_006;doc_sch_20260630_0158_007;doc_sch_20260630_0158_009;doc_sch_20260630_0174_001;doc_sch_20260630_0174_002;doc_sch_20260630_0174_003;doc_sch_20260630_0174_004;doc_sch_20260630_0174_005;doc_sch_20260630_0174_006;doc_sch_20260630_0174_007;doc_sch_20260630_0174_009,,,false,,no_reference_link,not_established
广西国控资本运营集团有限责任公司,广西国控资本运营集团有限责任公司,nominal_exit,2,exp4_20260703_0049;exp4_20260703_0051,harvest_0202;harvest_0203,,,unknown,doc_exp4_20260703_0049_002;doc_exp4_20260703_0049_003;doc_exp4_20260703_0049_008;doc_exp4_20260703_0051_002;doc_exp4_20260703_0051_005;doc_exp4_20260703_0051_007,,,false,,no_reference_link,not_established
广西投资集团金融控股有限公司,广西投资集团金融控股有限公司,nominal_exit,1,sch_20260630_0026,harvest_0026,,,unknown,doc_sch_20260630_0026_004;doc_sch_20260630_0026_005;doc_sch_20260630_0026_007;doc_sch_20260630_0026_009,,,false,,no_reference_link,not_established
