case_id,company_name,province,city,official_exit_year,final_label,primary_evidence_doc,primary_evidence_lines,secondary_evidence_doc,secondary_evidence_lines,supplementary_source_id,reference_label_producer,human_confirmation_status
expand_jx_fuzhou_guozi,抚州市市属国有资产投资控股集团有限公司,Jiangxi,Fuzhou,2015,nominal_exit,doc_jx_fuzhou_guozi_2026_cp1_006,17-18;1135-1136;1141-1158;1165;5065-5073,doc_jx_fuzhou_guozi_2026_cp1_006,471;684;1074-1085;2726-2782;2953-2954;2971-3028;3133-3139;5164-5208;5239-5248;6019;6102;7180-7182,src_jx_fuzhou_guozi_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_jx_jian_chengtou,吉安市城市建设投资开发有限公司,Jiangxi,Ji'an,2015,nominal_exit,doc_jx_jian_chengtou_2026_cp1_002,500-530;653-683;692-699;720-728;1049;1077-1078,doc_jx_jian_chengtou_2026_cp1_005;doc_jx_jian_chengtou_2026_cp1_003,425-426;460-462;502-510;4318;4382-4401;6492-6494;6619-6627;7327-7332;55-56;112-117;232-236,src_jx_jian_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_jx_jingdezhen_chengtou,景德镇市城市建设投资集团有限责任公司,Jiangxi,Jingdezhen,2015,nominal_exit,doc_jx_jingdezhen_chengtou_2026_cp1_006,1056-1057;1195-1196;4282-4283;163-164;595-599;1089-1106;2100-2103;2586-2600;2615-2664;2819-2849,doc_jx_jingdezhen_chengtou_2026_cp1_005,391;408;471;509-513;760,src_jx_jingdezhen_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_jx_shangrao_chengtou,上饶市城市建设投资开发集团有限公司,Jiangxi,Shangrao,2015,nominal_exit,doc_jx_shangrao_chengtou_2026_cp1_007,1083-1086;1195-1198;1212-1219;1225-1226;1238-1242;2988-2989;3143-3159;3182-3191,doc_jx_shangrao_chengtou_2026_cp1_004,1538-1541;1759-1761;2044-2084;2094-2099;2775;2796-2806;2911,src_jx_shangrao_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_jx_zhanggong_jiantou,赣州市章贡区建设投资集团有限公司,Jiangxi,Ganzhou Zhanggong,2015,nominal_exit,doc_jx_zg_jiantou_2026_mtn1_003,1057-1088;1169-1194;1914-1931;2018-2025;2106-2121;2180-2187;2248-2257,doc_jx_zg_jiantou_2026_mtn1_005;doc_jx_zg_jiantou_2026_mtn1_001,687-719;809-826;861-870;980-1005;153-156;252-289;485-488;609-613,src_jx_zg_jiantou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_sc_leshan_guozi,乐山国有资产投资运营(集团)有限公司,Sichuan,Leshan,2011,nominal_exit,doc_sc_leshan_guozi_2026_scp2_004,813-818;1151-1153;1164-1175;1184-1185;3601-3653,doc_sc_leshan_guozi_2026_scp2_004,162-178;430;590-593;648-656;725;743-745;2037-2038;2169-2170;2523-2535;2776-2808;2932-2942;4248;4344;4369,src_sc_leshan_guozi_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_sd_dezhou_deda,德州德达投资控股集团有限公司,Shandong,Dezhou,2016,nominal_exit,doc_sd_dezhou_deda_2026_cp1_001,812-817;1439-1457,doc_sd_dezhou_deda_2026_cp1_002,4984-5050;5900-5925;6142-6143;7018;7121;7262;7645;9799,src_sd_dezhou_deda_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_sd_jinan_chengjian,济南城市建设集团有限公司,Shandong,Jinan,2015,nominal_exit,doc_sd_jn_chengjian_2026_scp4_007,954-960;1062-1068,doc_sd_jn_chengjian_2026_scp4_007,1078-1088;1094-1117;2719-2725;2761-2788;2813-2821;2966-2986;4140-4169;4170-4183,src_sd_jn_chengjian_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_sd_linyi_chengtou,临沂城市建设投资集团有限公司,Shandong,Linyi,2015,nominal_exit,doc_sd_linyi_chengtou_2026_cp2_004,939-945;1058-1078;4631-4650;5335-5339;5440-5459,doc_sd_linyi_chengtou_2026_cp2_005;doc_sd_linyi_chengtou_2026_cp2_006,492-501;594-610;813-814;145-147;525-526;1317-1319;1347-1380,src_sd_linyi_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_tj_jinghai_chengtou,天津市静海城市基础设施建设投资集团有限公司,Tianjin,Jinghai,2011,nominal_exit,doc_tj_jh_chengtou_2026_mtn1_002,3336-3346;1004-1021;3374-3393,doc_tj_jh_chengtou_2026_mtn1_007;doc_tj_jh_chengtou_2026_mtn1_008,287-295;344-354;408-414;709-729;627-634,src_tj_jh_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_tj_jinnan_chengtou,天津津南城市建设投资有限公司,Tianjin,Tianjin Jinnan,2015,nominal_exit,doc_tj_jinnan_chengtou_2026_scp6_009,190-204;508-519;600-639;670-681;731-761;773-838;909-916;935-941;1025,doc_tj_jinnan_chengtou_2026_scp6_006,3895-3902;3960-3961;4133-4140;4146-4157;4166-4223;4233-4259;5050-5063;5322-5334;5502-5504;5817,src_tj_jinnan_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_xj_urumqi_chengtou,乌鲁木齐城市建设投资(集团)有限公司,Xinjiang,Urumqi,2015,nominal_exit,doc_xj_wlmq_chengtou_2026_mtn2_003,1055-1060;1104-1105;1185-1191,doc_xj_wlmq_chengtou_2026_mtn2_003;doc_xj_wlmq_chengtou_2026_mtn2_006,568-621;767-777;1115-1136;1138-1165;1178-1191;2441-2454;2490-2523;2538-2554;80-87;154-156;385-395;415-421;478-482;956-962,src_xj_wlmq_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_zj_wenling_guotou,温岭市国有资产投资集团有限公司,Zhejiang,Wenling,2015,functional_transfer,doc_zj_wl_guotou_2026_mtn2_005,985-987;999-1019;497-501;584-588;2381-2388;2427-2430,doc_zj_wl_guotou_2026_mtn2_003,323-342,src_zj_wl_guotou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
expand_zj_yuyao_chengtou,余姚市城市建设投资发展有限公司,Zhejiang,Yuyao,2015,nominal_exit,doc_zj_yuyao_chengtou_2026_mtn1_001,1162-1168;1179-1196;4005-4020,doc_zj_yuyao_chengtou_2026_mtn1_001;doc_zj_yuyao_chengtou_2026_mtn1_004,5764-5811;6371-6440;89-100;160-179;342-369,src_zj_yy_chengtou_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_gd_001,广州市城市建设投资集团有限公司,Guangdong,Guangzhou,2014,substantive_exit,doc_gd_gz_chengtou_2026_mtn4_004,927-931;6537-6548;6756-6761,doc_gd_gz_chengtou_2018_tracking_rating;doc_gd_gz_chengtou_2018_swap_plan,657-668;14-27,src_gd_gz_001;src_gd_gz_007,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_gd_001_alt_metro,广州地铁集团有限公司,Guangdong,Guangzhou,2015,nominal_exit,doc_gd_gz_metro_2025_mtn_009,839-867;984-986,doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_008,65-68;120-124;329-337;676-697;61-65;161-165;423-437;773-789,src_gd_gz_003,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_gd_003,佛山市建设发展集团有限公司,Guangdong,Foshan,2018,functional_transfer,doc_gd_fs_jiantou_2025_mtn_prospectus,5102-5105;5137-5140,doc_gd_fs_jiantou_2025_mtn_prospectus,3994-3999;4011-4014;5113-5119;5187-5189,src_gd_fs_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_hn_002,株洲市国有资产投资控股集团有限公司,Hunan,Zhuzhou,2013,nominal_exit,doc_hn_zz_guotou_2026_scp1_003,4558-4575;4656-4665;3888-3907;4488-4499;4677-4688,doc_hn_zz_guotou_2026_scp1_005,1248-1265,src_hn_zz_001;src_hn_zz_002,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_hn_004,衡阳市城市建设投资有限公司,Hunan,Hengyang,2020,nominal_exit,doc_hn_hy_chengtou_2026_mtn2_prospectus,3465-3472,doc_hn_hy_chengtou_2026_mtn2_prospectus,1422-1424;2398-2401;2413-2416;2893-2896;3660-3663,src_hn_hy_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_js_001_alt_metro,南京地铁集团有限公司,Jiangsu,Nanjing,2015,nominal_exit,doc_js_nj_metro_2025_mtn2_004,1103-1110;1114-1131;904-990,doc_js_nj_metro_2025_mtn2_004;doc_js_nj_metro_2025_mtn2_002,496-517;2917-2919;10852-10864;10888-10891;10992-10998;11015-11020;64-69;98-118;103-103,src_js_nj_002,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_js_002,苏州城市建设投资发展集团有限公司,Jiangsu,Suzhou,2015,nominal_exit,doc_js_sz_chengtou_2026_mtn1_009,868-886;916-919;4792-4820,doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_006,5002-5018;5928-5962;6498-6540;2248-2262;3666-3695,src_js_sz_002,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_js_003,盐城市城市资产投资集团有限公司,Jiangsu,Yancheng,2015,nominal_exit,doc_js_yc_chengzi_2025_mtn2_prospectus,928-929,doc_js_yc_chengzi_2025_mtn2_prospectus,1030-1043;2003-2006;2537-2544,src_js_yc_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_js_004,徐州市新盛投资控股集团有限公司,Jiangsu,Xuzhou,2015,nominal_exit,doc_js_xz_xinsheng_2026_mtn6_prospectus,1395-1398,doc_js_xz_xinsheng_2026_mtn6_prospectus,503-505;672-674;721-724;6070-6073;9006-9007,src_js_xz_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_sc_001,成都城建投资管理集团有限责任公司,Sichuan,Chengdu,2015,nominal_exit,doc_sc_cd_chengtou_2023_mtn3_prospectus,1662-1670;4884-4892;4902-4916,doc_sc_cd_chengtou_2023_mtn3_prospectus,1681-1696;8909-8942,src_sc_cd_002,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_sc_003,泸州市兴泸投资集团有限公司,Sichuan,Luzhou,2015,nominal_exit,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2018_mtn1_prospectus,902-908;2770-2817,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2023_mtn1_003;doc_sc_lz_xinglu_2015_bond_prospectus,2384-2414;2420-2494;900-930;1503-1508;1695-1731;1899-1904;2601-2608,src_sc_lz_xinglu_001;src_sc_lz_xinglu_002;src_sc_lz_xinglu_003;src_sc_lz_xinglu_004;src_sc_lz_xinglu_005,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_sd_001,济南城市投资集团有限公司,Shandong,Jinan,2015,nominal_exit,doc_sd_jn_chengtou_2025_mtn1_prospectus,1193-1199;4572-4573,doc_sd_jn_chengtou_2025_mtn1_prospectus,2389-2392;2453-2455;3322-3324;8538-8541,src_sd_jn_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_sd_002,青岛城市建设投资(集团)有限责任公司,Shandong,Qingdao,2015,nominal_exit,doc_sd_qd_chengtou_2026_mtn2_001,1297-1324;2187-2194,doc_sd_qd_chengtou_2026_mtn2_001,2203-2282;2645-2691;10216-10220,src_sd_qd_002,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_sn_xian_hightech,西安高新控股有限公司,Shaanxi,Xian,2012,nominal_exit,doc_sn_xa_hightech_2026_mtn6_006,774-783;656-663;724-728,doc_sn_xa_hightech_2020_mtn1_005;doc_sn_xa_hightech_2020_mtn1_002,520-531;544-571,src_sn_xa_003,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_zj_001,杭州市城市建设投资集团有限公司,Zhejiang,Hangzhou,2022,functional_transfer,doc_zj_hz_chengtou_2024_mtn1_prospectus,1188-1192;222-228;272-288,doc_zj_hz_chengtou_2024_rating,69-81;441-449;947-1018,src_zj_hz_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_zj_002,宁波开发投资集团有限公司,Zhejiang,Ningbo,2015,substantive_exit,doc_zj_nb_kaitou_2026_mtn4_prospectus,927-932,doc_zj_nb_kaitou_2026_mtn4_prospectus,5451-5454,src_zj_nb_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
pilot_zj_003,温州市名城建设投资集团有限公司,Zhejiang,Wenzhou,2015,functional_transfer,doc_zj_wz_mingcheng_2026_mtn2_prospectus,1054-1055;3239-3242;5606-5608,doc_zj_wz_mingcheng_2026_mtn2_prospectus,4115-4118;10468-10471;10549-10552;12059-12062,src_zj_wz_001,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0005,河北顺德投资集团有限公司,Hebei,Xingtai,2015,nominal_exit,doc_sch_20260630_0005_005,1593-1596;199-208;210-217;1572-1583,doc_sch_20260630_0005_005,1900-1904;1935-1949;2052-2061;2077-2101,src_sch_20260630_0005,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0006,济南高新控股集团有限公司,Shandong,Jinan,2015,nominal_exit,doc_sch_20260630_0006_007,1559-1574,doc_sch_20260630_0006_002,79-85,src_sch_20260630_0006,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0007,苏州吴中国太发展有限公司,Jiangsu,Suzhou,2015,nominal_exit,doc_sch_20260630_0007_008,1158-1169;435-459,doc_sch_20260630_0007_005,83-107,src_sch_20260630_0007,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0008,湖州莫干山国有资本控股集团有限公司,Zhejiang,Huzhou,2015,nominal_exit,doc_sch_20260630_0008_011,1416-1424;1539-1554,doc_sch_20260630_0008_011,570-586;4111-4124,src_sch_20260630_0008,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0013,嘉兴科技城投资发展集团有限公司,Zhejiang,Jiaxing,2015,nominal_exit,doc_sch_20260630_0013_009,1078-1083;180-197,doc_sch_20260630_0013_009,516-526;537-548;569-590;606-608,src_sch_20260630_0013,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0014,河南航空港投资集团有限公司,Henan,Zhengzhou,2015,nominal_exit,doc_sch_20260630_0014_009;doc_sch_20260630_0014_001,1078-1089;929-939;551-565,doc_sch_20260630_0014_009,179-192;1131-1166;1485-1540,src_sch_20260630_0014,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0015,徐州经济技术开发区国有资产经营有限责任公司,Jiangsu,Xuzhou,2015,nominal_exit,doc_sch_20260630_0015_007,1457-1460;153-155;570-577;597-600;645-675,doc_sch_20260630_0015_008,375-386;434-441;564-565,src_sch_20260630_0015,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0017,浙江安吉国控建设发展集团有限公司,Zhejiang,Anji,2015,nominal_exit,doc_sch_20260630_0017_002,1268-1278,doc_sch_20260630_0017_005,418-423;449-462;988-1004,src_sch_20260630_0017,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0019,江苏腾海投资控股集团有限公司,Jiangsu,Haian,2015,nominal_exit,doc_sch_20260630_0019_007,1012-1024;1107-1145;453-457;522-533;554-558;601-606;634-637;661-707;1091-1117;1122-1136;1273-1315;1975-1985;2016-2093,doc_sch_20260630_0019_003;doc_sch_20260630_0019_006,930-947;960-979;1477-1488;1625-1648;2021-2035;2107-2178,src_sch_20260630_0019,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0021,泰兴市中兴国有资产经营投资集团有限公司,Jiangsu,Taixing,2015,nominal_exit,doc_sch_20260630_0021_009;doc_sch_20260630_0021_006,1114-1129;290-310,doc_sch_20260630_0021_009;doc_sch_20260630_0021_006,491-495;1207-1229;1407-1418;523-540,src_sch_20260630_0021,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
sch_20260630_0025,知识城(广州)投资集团有限公司,Guangdong,Guangzhou,2015,nominal_exit,doc_sch_20260630_0025_004,1335-1340;1460-1465,doc_sch_20260630_0025_005,1519-1529;1571-1580;1615-1629,src_sch_20260630_0025,Codex source-packet review on behalf of Shunyu Hao,pending_human_confirmation
