specification,omitted_panel_id,omitted_case_id,omitted_city,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,sign_changed,scaling_rule
matched_gold_historical_only,gold_0085,sch_20260630_0008,Huzhou,0,0.06637998,0.06784322,0.00146324,0.00146324,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0086,sch_20260630_0137,Nantong,0,0.06637998,0.06549918,-0.00088081,0.00088081,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0087,sch_20260630_0069,Changzhou,0,0.06637998,0.07300594,0.00662595,0.00662595,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0088,exp_20260703_0008,Jinzhong,0,0.06637998,0.06559918,-0.00078081,0.00078081,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0089,exp2_20260703_0009,Nanjing,0,0.06637998,0.06644465,0.00006466,0.00006466,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0090,sch_20260630_0132,Rizhao,0,0.06637998,0.06554788,-0.00083210,0.00083210,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0091,sch_20260630_0175,Qingdao,0,0.06637998,0.06555062,-0.00082936,0.00082936,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0092,sch_20260630_0073,Nantong,0,0.06637998,0.06549918,-0.00088081,0.00088081,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0093,exp_20260703_0001,Bengbu,0,0.06637998,0.06550176,-0.00087823,0.00087823,False,full-sample standardization retained after deletion
matched_gold_historical_only,gold_0094,exp2_20260703_0001,Xuchang,0,0.06637998,0.06575271,-0.00062727,0.00062727,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0001,pilot_sn_xian_hightech,Xian,0,0.06182412,0.06108144,-0.00074268,0.00074268,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0002,pilot_gd_001,Guangzhou,1,0.06182412,0.05184567,-0.00997845,0.00997845,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0003,pilot_zj_001,Hangzhou,1,0.06182412,0.05664137,-0.00518276,0.00518276,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0004,pilot_sc_001,Chengdu,0,0.06182412,0.06142795,-0.00039617,0.00039617,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0005,pilot_hn_002,Zhuzhou,0,0.06182412,0.06069852,-0.00112560,0.00112560,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0006,pilot_zj_002,Ningbo,1,0.06182412,0.05325380,-0.00857032,0.00857032,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0007,pilot_zj_003,Wenzhou,1,0.06182412,0.06933366,0.00750954,0.00750954,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0008,pilot_js_004,Xuzhou,0,0.06182412,0.06067648,-0.00114764,0.00114764,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0009,pilot_hn_004,Hengyang,0,0.06182412,0.06076227,-0.00106186,0.00106186,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0010,pilot_sd_001,Jinan,0,0.06182412,0.06205172,0.00022759,0.00022759,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0011,pilot_js_003,Yancheng,0,0.06182412,0.06065799,-0.00116613,0.00116613,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0012,pilot_gd_003,Foshan,1,0.06182412,0.06211731,0.00029318,0.00029318,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0013,pilot_js_002,Suzhou,0,0.06182412,0.06857944,0.00675532,0.00675532,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0014,pilot_sd_002,Qingdao,0,0.06182412,0.06075890,-0.00106523,0.00106523,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0015,pilot_sc_003,Luzhou,0,0.06182412,0.06071231,-0.00111181,0.00111181,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0016,expand_sd_jinan_chengjian,Jinan,0,0.06182412,0.06205172,0.00022759,0.00022759,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0017,expand_fj_fuzhou_chengtou,Fuzhou,1,0.06182412,0.05136613,-0.01045799,0.01045799,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0019,expand_zj_yuyao_chengtou,Yuyao,0,0.06182412,0.06402062,0.00219649,0.00219649,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0020,expand_js_taizhou_jindong,Taizhou,1,0.06182412,0.06723292,0.00540880,0.00540880,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0021,expand_hlj_harbin_chengtou,Harbin,0,0.06182412,0.06064649,-0.00117764,0.00117764,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0022,expand_hb_xiaogan_chengtou,Xiaogan,1,0.06182412,0.06768185,0.00585772,0.00585772,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0023,expand_tj_jinghai_chengtou,Jinghai,0,0.06182412,0.06138660,-0.00043753,0.00043753,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0025,expand_zj_wenling_guotou,Wenling,1,0.06182412,0.06862482,0.00680069,0.00680069,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0026,expand_js_yixing_chengfa,Yixing,1,0.06182412,0.05231506,-0.00950907,0.00950907,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0027,expand_fj_fuzhou_guozi,Fuzhou,1,0.06182412,0.05136613,-0.01045799,0.01045799,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0028,expand_js_zhenjiang_industry,Zhenjiang,0,0.06182412,0.06239612,0.00057199,0.00057199,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0029,expand_js_jiangning_guozi,Nanjing Jiangning,0,0.06182412,0.06178586,-0.00003827,0.00003827,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0030,expand_js_changshu_invest,Changshu,1,0.06182412,0.04331015,-0.01851397,0.01851397,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0031,expand_ah_suzhou_chengtou,Suzhou,0,0.06182412,0.06068399,-0.00114014,0.00114014,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0032,expand_hb_huangshi_chengfa,Huangshi,0,0.06182412,0.06076826,-0.00105586,0.00105586,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0033,expand_js_yancheng_chengnan,Yancheng,0,0.06182412,0.06065799,-0.00116613,0.00116613,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0034,expand_js_suzhou_xiangcheng,Suzhou Xiangcheng,0,0.06182412,0.06857944,0.00675532,0.00675532,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0035,expand_sd_linyi_chengtou,Linyi,0,0.06182412,0.06071965,-0.00110447,0.00110447,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0036,expand_jx_jian_chengtou,Ji'an,0,0.06182412,0.06118016,-0.00064396,0.00064396,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0037,expand_hen_luoyang_chengxiang,Luoyang,0,0.06182412,0.06078920,-0.00103493,0.00103493,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0038,expand_js_zhangjiagang_chengtou,Zhangjiagang,0,0.06182412,0.06857944,0.00675532,0.00675532,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0039,expand_tj_jinnan_chengtou,Tianjin Jinnan,0,0.06182412,0.06138660,-0.00043753,0.00043753,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0041,expand_js_taizhou_chengtou,Taizhou,0,0.06182412,0.06105225,-0.00077187,0.00077187,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0042,expand_jx_jingdezhen_chengtou,Jingdezhen,0,0.06182412,0.06091285,-0.00091127,0.00091127,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0044,expand_jx_shangrao_chengtou,Shangrao,0,0.06182412,0.06100738,-0.00081675,0.00081675,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0045,expand_js_huaian_touzi,Huai'an,0,0.06182412,0.06085508,-0.00096905,0.00096905,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0046,expand_hn_yiyang_jiaotou,Yiyang,0,0.06182412,0.06068256,-0.00114156,0.00114156,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0047,expand_js_xinghua_guotou,Xinghua,0,0.06182412,0.06105225,-0.00077187,0.00077187,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0049,expand_sd_dezhou_deda,Dezhou,0,0.06182412,0.06092868,-0.00089544,0.00089544,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0050,expand_jx_fuzhou_guozi,Fuzhou,0,0.06182412,0.06125200,-0.00057213,0.00057213,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0051,sch_20260630_0155,Kunming,0,0.06182412,0.06077843,-0.00104570,0.00104570,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0053,sch_20260630_0027,Bozhou,0,0.06182412,0.06065864,-0.00116548,0.00116548,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0054,sch_20260630_0055,Shangrao,0,0.06182412,0.06100738,-0.00081675,0.00081675,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0056,sch_20260630_0052,Nanjing,0,0.06182412,0.06178586,-0.00003827,0.00003827,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0057,sch_20260630_0019,Haian,0,0.06182412,0.06068829,-0.00113583,0.00113583,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0058,sch_20260630_0142,Gaochun,0,0.06182412,0.06178586,-0.00003827,0.00003827,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0059,sch_20260630_0068,Jiaxing,0,0.06182412,0.07816634,0.01634222,0.01634222,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0060,expand_gx_nanning_chengtou,Nanning,0,0.06182412,0.06066565,-0.00115847,0.00115847,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0061,pilot_gd_001_alt_metro,Guangzhou,0,0.06182412,0.06451990,0.00269578,0.00269578,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0062,pilot_js_001_alt_metro,Nanjing,0,0.06182412,0.06178586,-0.00003827,0.00003827,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0064,sch_20260630_0015,Xuzhou,0,0.06182412,0.06067648,-0.00114764,0.00114764,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0067,sch_20260630_0051,Beijing,0,0.06182412,0.06246479,0.00064066,0.00064066,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0070,sch_20260630_0048,Changzhou,0,0.06182412,0.06856923,0.00674510,0.00674510,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0071,sch_20260630_0046,Xuzhou,0,0.06182412,0.06067648,-0.00114764,0.00114764,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0072,sch_20260630_0014,Zhengzhou,0,0.06182412,0.06085203,-0.00097209,0.00097209,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0075,sch_20260630_0006,Jinan,0,0.06182412,0.06205172,0.00022759,0.00022759,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0076,sch_20260630_0007,Suzhou,0,0.06182412,0.06857944,0.00675532,0.00675532,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0077,sch_20260630_0032,Bozhou,0,0.06182412,0.06065864,-0.00116548,0.00116548,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0078,sch_20260630_0057,Changzhou,0,0.06182412,0.06856923,0.00674510,0.00674510,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0079,sch_20260630_0033,Shaoxing,0,0.06182412,0.06376340,0.00193927,0.00193927,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0080,sch_20260630_0054,Huangshi,0,0.06182412,0.06076826,-0.00105586,0.00105586,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0083,sch_20260630_0013,Jiaxing,0,0.06182412,0.07816634,0.01634222,0.01634222,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0084,sch_20260630_0025,Guangzhou,0,0.06182412,0.06451990,0.00269578,0.00269578,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0085,sch_20260630_0008,Huzhou,0,0.06182412,0.06327205,0.00144793,0.00144793,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0086,sch_20260630_0137,Nantong,0,0.06182412,0.06068829,-0.00113583,0.00113583,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0087,sch_20260630_0069,Changzhou,0,0.06182412,0.06856923,0.00674510,0.00674510,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0088,exp_20260703_0008,Jinzhong,0,0.06182412,0.06082168,-0.00100244,0.00100244,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0089,exp2_20260703_0009,Nanjing,0,0.06182412,0.06178586,-0.00003827,0.00003827,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0090,sch_20260630_0132,Rizhao,0,0.06182412,0.06075526,-0.00106886,0.00106886,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0091,sch_20260630_0175,Qingdao,0,0.06182412,0.06075890,-0.00106523,0.00106523,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0092,sch_20260630_0073,Nantong,0,0.06182412,0.06068829,-0.00113583,0.00113583,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0093,exp_20260703_0001,Bengbu,0,0.06182412,0.06069199,-0.00113213,0.00113213,False,full-sample standardization retained after deletion
complete_control_historical_only,gold_0094,exp2_20260703_0001,Xuchang,0,0.06182412,0.06100886,-0.00081526,0.00081526,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0001,pilot_sn_xian_hightech,Xian,0,0.00541842,0.00533833,-0.00008009,0.00008009,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0002,pilot_gd_001,Guangzhou,1,0.00541842,-0.00299135,-0.00840976,0.00840976,True,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0003,pilot_zj_001,Hangzhou,1,0.00541842,0.01833237,0.01291395,0.01291395,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0004,pilot_sc_001,Chengdu,0,0.00541842,0.00113487,-0.00428355,0.00428355,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0005,pilot_hn_002,Zhuzhou,0,0.00541842,0.00502277,-0.00039565,0.00039565,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0006,pilot_zj_002,Ningbo,1,0.00541842,0.00570743,0.00028901,0.00028901,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0007,pilot_zj_003,Wenzhou,1,0.00541842,0.01220182,0.00678340,0.00678340,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0008,pilot_js_004,Xuzhou,0,0.00541842,0.00354551,-0.00187291,0.00187291,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0009,pilot_hn_004,Hengyang,0,0.00541842,0.00540375,-0.00001467,0.00001467,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0010,pilot_sd_001,Jinan,0,0.00541842,0.00362880,-0.00178962,0.00178962,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0011,pilot_js_003,Yancheng,0,0.00541842,0.00324966,-0.00216876,0.00216876,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0012,pilot_gd_003,Foshan,1,0.00541842,0.02151271,0.01609429,0.01609429,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0013,pilot_js_002,Suzhou,0,0.00541842,0.00997953,0.00456111,0.00456111,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0014,pilot_sd_002,Qingdao,0,0.00541842,-0.00210689,-0.00752531,0.00752531,True,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0015,pilot_sc_003,Luzhou,0,0.00541842,0.00535059,-0.00006783,0.00006783,False,full-sample standardization retained after deletion
complete_control_full_available_controls,gold_0016,expand_sd_jinan_chengjian,Jinan,0,0.00541842,0.00362880,-0.00178962,0.00178962,False,full-sample standardization retained after deletion
